url;timecode;channel;tags
https://www.youtube.com/watch?v=DRc7ISfv6GA;10:55;joyca;text
https://www.youtube.com/watch?v=DRc7ISfv6GA;11:00;joyca;jingle
https://www.youtube.com/watch?v=cTsONdoPgiU;7:10;amixem;transition
https://www.youtube.com/watch?v=JJcKDAMb27k;17:55;amixem;carte
